Image,Latitude,Longitude,Date
00001,-37.74838856772222,144.70172799694444,2017-01-31
00002,-37.747603951777776,144.70138189202777,2017-01-31
00003,-37.74707084972222,144.7009730729722,2017-01-31
00004,-37.747655468,144.70147634938888,2017-01-31
00005,-37.74847386355555,144.70176865966667,2017-01-31
00006,-37.74723577216667,144.70106580563888,2017-01-31
00007,-37.74803607669445,144.7016968883611,2017-01-31
00008,-37.74830171075,144.70169589380555,2017-01-31
00009,-37.747543267833336,144.70129921463888,2017-01-31
00010,-37.74747235430556,144.70123067813887,2017-01-31
00011,-37.74821313741667,144.70167833863889,2017-01-31
00012,-37.74715380786111,144.70101811719442,2017-01-31
00013,-37.74812422880556,144.70167949358333,2017-01-31
00014,-37.74864190561111,144.70185736613888,2017-01-31
00015,-37.74777320422222,144.7016544349722,2017-01-31
00016,-37.747707807750004,144.70157253816666,2017-01-31
00017,-37.74855812791667,144.70181336013889,2017-01-31
00018,-37.747856146277776,144.7017042993611,2017-01-31
00019,-37.74739553561111,144.7011716030833,2017-01-31
00020,-37.74794702291667,144.70171334819443,2017-01-31
00021,-37.747316394833334,144.70111683944444,2017-01-31
00022,-37.89284183377778,144.6825452188889,2017-01-31
00023,-37.89238796172222,144.68352489394445,2017-01-31
00024,-37.89111471213889,144.68626828666666,2017-01-31
00025,-37.89066045966667,144.68724772269445,2017-01-31
00026,-37.90081804608333,144.66529070394446,2017-01-31
00027,-37.90039795836111,144.66629299108334,2017-01-31
00028,-37.885845746305556,144.69763379280556,2017-01-31
00029,-37.888482166138886,144.69194692863888,2017-01-31
00030,-37.88629980822222,144.696651787,2017-01-31
00031,-37.88802549388889,144.69292663094444,2017-01-31
00032,-37.89546462305555,144.67685188466666,2017-01-31
00033,-37.895021940944446,144.67783867688888,2017-01-31
00034,-37.887391331138886,144.69430050702778,2017-01-31
00035,-37.88693763105555,144.69528085563888,2017-01-31
00036,-37.884577147555554,144.70025199625,2017-01-31
00037,-37.884112040194445,144.70122101366667,2017-01-31
00038,-37.899244394916664,144.6687287427222,2017-01-31
00039,-37.89879008425,144.66970970266667,2017-01-31
00040,-37.898427355694444,144.6704940710833,2017-01-31
00041,-37.89397756927778,144.68010229513888,2017-01-31
00042,-37.89797248138889,144.671473824,2017-01-31
00043,-37.894429988249996,144.67911674066664,2017-01-31
00044,-37.88543035011111,144.69851169275,2017-01-31
00045,-37.88495006419444,144.69947423052778,2017-01-31
00046,-37.892117578749996,144.68411484997222,2017-01-31
00047,-37.89166275819444,144.68509411244446,2017-01-31
00048,-37.88661884008333,144.69596572769444,2017-01-31
00049,-37.88761841005555,144.6938104436111,2017-01-31
00050,-37.88616347586111,144.69694628680557,2017-01-31
00051,-37.888071065527775,144.6928285383611,2017-01-31
00052,-37.89724765641667,144.67304171647223,2017-01-31
00053,-37.896782229972224,144.67401397147222,2017-01-31
00054,-37.90006828641666,144.66697058825,2017-01-31
00055,-37.899606849416664,144.66794348677777,2017-01-31
00056,-37.88374369519445,144.70199926538888,2017-01-31
00057,-37.88330076425,144.70298510569444,2017-01-31
00058,-37.900696581527775,144.66559557919445,2017-01-31
00059,-37.901101279138885,144.66458052583334,2017-01-31
00060,-37.90134834247222,144.6639806755,2017-01-31
00061,-37.901757919527775,144.66296671297223,2017-01-31
00062,-37.89765569286111,144.67216008644442,2017-01-31
00063,-37.894840297416664,144.67823211155556,2017-01-31
00064,-37.89810908427778,144.67118019625,2017-01-31
00065,-37.894384915972225,144.67921537788888,2017-01-31
00066,-37.88911694816667,144.69057426150002,2017-01-31
00067,-37.88866341252778,144.69155423661113,2017-01-31
00068,-37.88267802075,144.70436402941667,2017-01-31
00069,-37.8822559985,144.705365425,2017-01-31
00070,-37.89125127025,144.6859746301111,2017-01-31
00071,-37.89170829891667,144.68499628475,2017-01-31
00072,-37.89649491527778,144.67459031158333,2017-01-31
00073,-37.89604075855556,144.67556795502776,2017-01-31
00074,-37.890115367305555,144.68842305444446,2017-01-31
00075,-37.889662094555554,144.6894007475,2017-01-31
00076,-37.89383776197222,144.6803922619722,2017-01-31
00077,-37.89338499675,144.6813701026111,2017-01-31
00078,-37.88811683341667,144.6927306898889,2017-01-31
00079,-37.886208856555555,144.69684811219446,2017-01-31
00080,-37.887663975694444,144.69371243980555,2017-01-31
00081,-37.88666452941666,144.69586805808333,2017-01-31
00082,-37.89683044572222,144.67391817769445,2017-01-31
00083,-37.897293405166664,144.67294388577776,2017-01-31
00084,-37.90114219930555,144.66448002433333,2017-01-31
00085,-37.900737285333335,144.6654945106389,2017-01-31
00086,-37.8996525335,144.66784576430555,2017-01-31
00087,-37.900115340666666,144.66687377361112,2017-01-31
00088,-37.88334617402778,144.70288725591666,2017-01-31
00089,-37.88378827105556,144.70190075277776,2017-01-31
00090,-37.88229740058333,144.70526478580555,2017-01-31
00091,-37.88272154802778,144.7042647948611,2017-01-31
00092,-37.891753723444445,144.68489840475002,2017-01-31
00093,-37.89129678972222,144.6858766377778,2017-01-31
00094,-37.89433997808333,144.6793141796111,2017-01-31
00095,-37.898063413222225,144.67127796572223,2017-01-31
00096,-37.894794603583335,144.67833026858332,2017-01-31
00097,-37.89761025533333,144.67225802958333,2017-01-31
00098,-37.90180584169444,144.66286976730555,2017-01-31
00099,-37.90138929905555,144.66388001083334,2017-01-31
00100,-37.88861804063889,144.69165232483334,2017-01-31
00101,-37.88907178280556,144.69067232683335,2017-01-31
00102,-37.88961678041667,144.6894985441111,2017-01-31
00103,-37.890070177333335,144.68852087166667,2017-01-31
00104,-37.893339703972224,144.68146802377777,2017-01-31
00105,-37.89379162391667,144.68048917408333,2017-01-31
00106,-37.89608614761111,144.6754703333611,2017-01-31
00107,-37.89654121880555,144.67449298677778,2017-01-31
00108,-37.90035129713889,144.66638993450002,2017-01-31
00109,-37.9007776565,144.6653926303889,2017-01-31
00110,-37.892343290333336,144.68362338958335,2017-01-31
00111,-37.892796343722225,144.68264305641665,2017-01-31
00112,-37.890615069305554,144.68734570444445,2017-01-31
00113,-37.89106893894444,144.68636588538888,2017-01-31
00114,-37.887980150694446,144.69302486686112,2017-01-31
00115,-37.886254256166666,144.69674986944446,2017-01-31
00116,-37.88843681922222,144.69204497372223,2017-01-31
00117,-37.88580043136111,144.69773191902777,2017-01-31
00118,-37.894976567916665,144.67793700944443,2017-01-31
00119,-37.895422076833334,144.67695187816665,2017-01-31
00120,-37.88415838522222,144.70112394083333,2017-01-31
00121,-37.88462413336111,144.70015496575,2017-01-31
00122,-37.89883528255555,144.66961150199998,2017-01-31
00123,-37.89929022230555,144.66863091552776,2017-01-31
00124,-37.88689204102778,144.69537876486112,2017-01-31
00125,-37.88734591225,144.69439840675,2017-01-31
