,loss,accuracy,val_loss,val_accuracy
0,3.0643460750579834,0.40810704231262207,2.9705142974853516,0.45497629046440125
1,2.8993382453918457,0.4391971528530121,2.8996760845184326,0.4277251064777374
2,2.830667495727539,0.442345529794693,2.8381197452545166,0.4348341226577759
3,2.7804741859436035,0.45572608709335327,2.8103106021881104,0.46563979983329773
4,2.7365036010742188,0.4852420389652252,2.7668251991271973,0.46919432282447815
5,2.708263397216797,0.4710743725299835,2.7357888221740723,0.48341232538223267
6,2.664921760559082,0.4923258423805237,2.70931077003479,0.49526065587997437
7,2.633709669113159,0.4931129515171051,2.657390594482422,0.4976303279399872
8,2.5934348106384277,0.4954742193222046,2.6491036415100098,0.475118488073349
9,2.564042091369629,0.4935064911842346,2.6236166954040527,0.4774881601333618
10,2.54026198387146,0.5017709732055664,2.5858073234558105,0.49644550681114197
11,2.511662483215332,0.5049193501472473,2.5681803226470947,0.4774881601333618
12,2.4863102436065674,0.5076741576194763,2.5163938999176025,0.49526065587997437
13,2.4550490379333496,0.49940967559814453,2.5005791187286377,0.4988151788711548
14,2.436474323272705,0.5029516220092773,2.470898151397705,0.5047393441200256
15,2.411257028579712,0.5131837725639343,2.4434337615966797,0.5094786882400513
16,2.3829989433288574,0.5092483162879944,2.420541524887085,0.5142180323600769
17,2.3630173206329346,0.5159385800361633,2.3982996940612793,0.5118483304977417
18,2.339916467666626,0.5108225345611572,2.3795931339263916,0.5094786882400513
19,2.316073417663574,0.5123966932296753,2.3719377517700195,0.5011848211288452
20,2.292696237564087,0.5163321495056152,2.3503754138946533,0.49289098381996155
21,2.2710959911346436,0.5269578695297241,2.3412952423095703,0.5023696422576904
22,2.2498769760131836,0.5249901413917542,2.3123719692230225,0.5
23,2.2352066040039062,0.5182998776435852,2.3014819622039795,0.49289098381996155
24,2.213057041168213,0.530106246471405,2.285919427871704,0.5023696422576904
25,2.1911025047302246,0.5171192288398743,2.2619829177856445,0.508293867111206
26,2.168949604034424,0.5277450084686279,2.2593696117401123,0.5047393441200256
27,2.1463680267333984,0.5316804647445679,2.237114429473877,0.5023696422576904
28,2.1304469108581543,0.534041702747345,2.20457124710083,0.5106635093688965
29,2.1091859340667725,0.5383707284927368,2.186758041381836,0.5165876746177673
