,loss,binary_accuracy,precision,true_positives,false_negatives,val_loss,val_binary_accuracy,val_precision,val_true_positives,val_false_negatives
0,0.8502227663993835,0.6150059103965759,0.6218698024749756,1490.0,1049.0,0.6097100973129272,0.63947993516922,0.6196754574775696,611.0,235.0
1,0.5892513990402222,0.6833398938179016,0.657636284828186,1942.0,597.0,0.6076738238334656,0.664893627166748,0.6302521228790283,675.0,171.0
2,0.5545151829719543,0.7107128500938416,0.6941218972206116,1913.0,626.0,0.6025968790054321,0.6790780425071716,0.6538071036338806,644.0,202.0
3,0.5207487344741821,0.7248916625976562,0.7010563611984253,1991.0,548.0,0.6196975708007812,0.7086288332939148,0.7040462493896484,609.0,237.0
4,0.5059117674827576,0.7416305541992188,0.7209218740463257,2002.0,537.0,0.622094452381134,0.7068557739257812,0.7266839146614075,561.0,285.0
5,0.4795885384082794,0.7751083374023438,0.7615125179290771,2034.0,505.0,0.6256600022315979,0.6903073191642761,0.6742424368858337,623.0,223.0
6,0.4604981243610382,0.7837731242179871,0.7742671966552734,2034.0,505.0,0.62673020362854,0.7180851101875305,0.7241798043251038,596.0,250.0
7,0.4456540048122406,0.7957857251167297,0.7935887575149536,2030.0,509.0,0.6369783878326416,0.7104018926620483,0.6947483420372009,635.0,211.0
8,0.4429011940956116,0.7946041822433472,0.7894737124443054,2040.0,499.0,0.6400933861732483,0.7121749520301819,0.7139451503753662,599.0,247.0
9,0.42045506834983826,0.8133123517036438,0.8094126582145691,2081.0,458.0,0.6625918745994568,0.7234042286872864,0.7058823704719543,648.0,198.0
10,0.41213610768318176,0.8142969608306885,0.8184357285499573,2051.0,488.0,0.6727856993675232,0.7157210111618042,0.7021040916442871,634.0,212.0
11,0.3989016115665436,0.8213863968849182,0.8271852731704712,2063.0,476.0,0.6691206097602844,0.7157210111618042,0.7104959487915039,616.0,230.0
12,0.3885333240032196,0.8267034292221069,0.8395415544509888,2051.0,488.0,0.6793026328086853,0.7234042286872864,0.7023554444313049,656.0,190.0
13,0.3739413022994995,0.8290665745735168,0.8343337178230286,2085.0,454.0,0.6882008910179138,0.7003546357154846,0.6906636953353882,614.0,232.0
14,0.3560779094696045,0.8389129638671875,0.8525194525718689,2081.0,458.0,0.7483739852905273,0.7068557739257812,0.6785714030265808,665.0,181.0
15,0.3530503511428833,0.8324143290519714,0.8496271967887878,2051.0,488.0,0.7137719988822937,0.7033097147941589,0.7092457413673401,583.0,263.0
16,0.3335590660572052,0.8458054065704346,0.8628098964691162,2088.0,451.0,0.74357670545578,0.7139480113983154,0.7218137383460999,589.0,257.0
17,0.32818254828453064,0.8505316972732544,0.863265335559845,2115.0,424.0,0.7359787821769714,0.7104018926620483,0.7247474789619446,574.0,272.0
18,0.3226453959941864,0.8542733192443848,0.8721555471420288,2108.0,431.0,0.7301907539367676,0.7098108530044556,0.7120668888092041,596.0,250.0
19,0.3126339316368103,0.8562425971031189,0.8669371008872986,2137.0,402.0,0.7625793218612671,0.7015366554260254,0.7139272093772888,569.0,277.0
20,0.3054932653903961,0.8589996099472046,0.8771203756332397,2120.0,419.0,0.8011858463287354,0.7186761498451233,0.7078651785850525,630.0,216.0
21,0.2864283323287964,0.8698306679725647,0.8876961469650269,2150.0,389.0,0.7822792530059814,0.7080378532409668,0.7156862616539001,584.0,262.0
22,0.2836759388446808,0.8698306679725647,0.8952020406723022,2127.0,412.0,0.7748145461082458,0.7133569717407227,0.7214723825454712,588.0,258.0
23,0.27817219495773315,0.875935435295105,0.8949110507965088,2163.0,376.0,0.8459315896034241,0.6979905366897583,0.6972909569740295,592.0,254.0
24,0.27319368720054626,0.8739661574363708,0.897779643535614,2143.0,396.0,0.7967850565910339,0.7151300311088562,0.7327365875244141,573.0,273.0
25,0.2656756341457367,0.8775108456611633,0.8985446691513062,2161.0,378.0,0.8337954878807068,0.7293144464492798,0.7255814075469971,624.0,222.0
26,0.2578122615814209,0.8844032883644104,0.8996723890304565,2197.0,342.0,0.8092852830886841,0.7169030904769897,0.7268232107162476,588.0,258.0
27,0.25794970989227295,0.8834186792373657,0.9021065831184387,2184.0,355.0,0.8410415649414062,0.7109929323196411,0.7303225994110107,566.0,280.0
28,0.24451977014541626,0.8869633674621582,0.9068322777748108,2190.0,349.0,0.8525360226631165,0.7127659320831299,0.7132701277732849,602.0,244.0
29,0.2304985076189041,0.894446611404419,0.9143566489219666,2210.0,329.0,0.890373945236206,0.7127659320831299,0.7117646932601929,605.0,241.0
