,loss,binary_accuracy,precision,true_positives,false_negatives,val_loss,val_binary_accuracy,val_precision,val_true_positives,val_false_negatives
0,2.443950653076172,0.6504529118537903,0.6353650093078613,1793.0,746.0,2.385732412338257,0.6938534379005432,0.6806167364120483,618.0,228.0
1,2.336526870727539,0.7014572620391846,0.6827438473701477,1911.0,628.0,2.3121094703674316,0.7056737542152405,0.6757575869560242,669.0,177.0
2,2.258347988128662,0.7166207432746887,0.7022058963775635,1910.0,629.0,2.245056390762329,0.7056737542152405,0.712195098400116,584.0,262.0
3,2.1982474327087402,0.7195746302604675,0.7114144563674927,1876.0,663.0,2.1651546955108643,0.7234042286872864,0.7316176295280457,597.0,249.0
4,2.1187422275543213,0.7380858659744263,0.7360405921936035,1885.0,654.0,2.107619524002075,0.7145389914512634,0.7538461685180664,539.0,307.0
5,2.0574381351470947,0.741236686706543,0.7425742745399475,1875.0,664.0,2.0436320304870605,0.7352246046066284,0.7357819676399231,621.0,225.0
6,1.9901490211486816,0.7575817108154297,0.7564705610275269,1929.0,610.0,1.9864507913589478,0.7434988021850586,0.7367815971374512,641.0,205.0
7,1.9342933893203735,0.7630957365036011,0.7629921436309814,1938.0,601.0,1.9292755126953125,0.7482269406318665,0.7224576473236084,682.0,164.0
8,1.892383337020874,0.7660496234893799,0.764798104763031,1951.0,588.0,1.8767975568771362,0.7671394944190979,0.7603686451911926,660.0,186.0
9,1.837240219116211,0.7692004442214966,0.7706930637359619,1946.0,593.0,1.8434748649597168,0.758274257183075,0.7841352224349976,603.0,243.0
10,1.793691873550415,0.7743206024169922,0.7791582942008972,1944.0,595.0,1.788774013519287,0.7742316722869873,0.8036649227142334,614.0,232.0
11,1.7463772296905518,0.7717605233192444,0.7731591463088989,1953.0,586.0,1.7478580474853516,0.7541370987892151,0.7171717286109924,710.0,136.0
12,1.6997628211975098,0.7912564277648926,0.7924080491065979,2004.0,535.0,1.7058305740356445,0.7535461187362671,0.7182095646858215,706.0,140.0
13,1.6450574398040771,0.7979519367218018,0.7958545088768005,2035.0,504.0,1.6633813381195068,0.7813238501548767,0.8059126138687134,627.0,219.0
14,1.5997378826141357,0.8009058833122253,0.7940723896026611,2063.0,476.0,1.6425445079803467,0.7671394944190979,0.7958115339279175,608.0,238.0
15,1.5641047954559326,0.8022843599319458,0.7966756820678711,2061.0,478.0,1.5925284624099731,0.7730496525764465,0.7366803288459778,719.0,127.0
16,1.5266120433807373,0.8024812936782837,0.7979053258895874,2057.0,482.0,1.5450849533081055,0.7901891469955444,0.8119440674781799,639.0,207.0
17,1.4885793924331665,0.8079952597618103,0.8073899149894714,2054.0,485.0,1.5449843406677246,0.7553191781044006,0.7033898234367371,747.0,99.0
18,1.4547646045684814,0.8139030933380127,0.8060675859451294,2099.0,440.0,1.4868834018707275,0.7819148898124695,0.8117647171020508,621.0,225.0
19,1.4103093147277832,0.8182355165481567,0.8110084533691406,2107.0,432.0,1.4545888900756836,0.7919621467590332,0.7990314960479736,660.0,186.0
20,1.380231261253357,0.8176447153091431,0.8149160742759705,2087.0,452.0,1.414648175239563,0.7984633445739746,0.8105781078338623,659.0,187.0
21,1.3491812944412231,0.8164631724357605,0.8098727464675903,2100.0,439.0,1.4028924703598022,0.7771867513656616,0.8298171758651733,590.0,256.0
22,1.321406602859497,0.8207955956459045,0.8165565729141235,2101.0,438.0,1.354996681213379,0.7990543842315674,0.8077858686447144,664.0,182.0
23,1.2821017503738403,0.8245372176170349,0.8196276426315308,2113.0,426.0,1.3246876001358032,0.8073285818099976,0.8110047578811646,678.0,168.0
24,1.249995231628418,0.8261126279830933,0.8194444179534912,2124.0,415.0,1.3089385032653809,0.8102836608886719,0.8244746327400208,667.0,179.0
25,1.2139683961868286,0.8290665745735168,0.831153392791748,2097.0,442.0,1.2827719449996948,0.7978723645210266,0.7971698045730591,676.0,170.0
26,1.1917142868041992,0.8339897394180298,0.8302180767059326,2132.0,407.0,1.2727333307266235,0.7825059294700623,0.7907542586326599,650.0,196.0
27,1.165889024734497,0.8365498185157776,0.8300502300262451,2149.0,390.0,1.256683111190796,0.7813238501548767,0.7668161392211914,684.0,162.0
28,1.1423277854919434,0.8290665745735168,0.8259851932525635,2117.0,422.0,1.2134186029434204,0.7913711667060852,0.7754189968109131,694.0,152.0
29,1.104904294013977,0.8426545858383179,0.8401094675064087,2149.0,390.0,1.1986641883850098,0.7890070676803589,0.8114649653434753,637.0,209.0
