,loss,binary_accuracy,precision,true_positives,false_negatives,val_loss,val_binary_accuracy,val_precision,val_true_positives,val_false_negatives
0,2.295456886291504,0.49330446124076843,0.4918738007545471,1029.0,1510.0,2.266411304473877,0.5,0.5,846.0,0.0
1,2.2418925762176514,0.49054744839668274,0.4796610176563263,566.0,1973.0,2.2167718410491943,0.5,0.0,0.0,846.0
2,2.193067789077759,0.4921228885650635,0.4909747242927551,1088.0,1451.0,2.168696165084839,0.5,0.5,846.0,0.0
3,2.145690441131592,0.4911382496356964,0.49396297335624695,1841.0,698.0,2.1221349239349365,0.5,0.5,846.0,0.0
4,2.0996506214141846,0.49881842732429504,0.4994073510169983,2528.0,11.0,2.077047109603882,0.5,0.5,846.0,0.0
5,2.0555202960968018,0.485230416059494,0.48602309823036194,1304.0,1235.0,2.033381462097168,0.5,0.0,0.0,846.0
6,2.012319803237915,0.4998030662536621,0.4974874258041382,99.0,2440.0,1.9910929203033447,0.5,0.5,846.0,0.0
7,1.9708555936813354,0.49231982231140137,0.49594846367836,2387.0,152.0,1.9501404762268066,0.5,0.5,846.0,0.0
8,1.9306296110153198,0.49881842732429504,0.4994080364704132,2531.0,8.0,1.9104790687561035,0.5,0.5,846.0,0.0
9,1.8914259672164917,0.5011815428733826,0.5005936026573181,2530.0,9.0,1.8720698356628418,0.5,0.5,846.0,0.0
10,1.8537346124649048,0.4883812665939331,0.4915786385536194,1722.0,817.0,1.8348711729049683,0.5,0.0,0.0,846.0
11,1.8171164989471436,0.4968491494655609,0.49835458397865295,2423.0,116.0,1.7988470792770386,0.5,0.5,846.0,0.0
12,1.7814711332321167,0.4891689717769623,0.48271527886390686,768.0,1771.0,1.7639600038528442,0.5,0.0,0.0,846.0
13,1.747244954109192,0.4964553117752075,0.49807363748550415,2327.0,212.0,1.7301740646362305,0.5,0.5,846.0,0.0
14,1.7139673233032227,0.494486004114151,0.4958896040916443,1689.0,850.0,1.697452425956726,0.5,0.0,0.0,846.0
15,1.6816515922546387,0.4913351833820343,0.4938581883907318,1769.0,770.0,1.6657642126083374,0.5,0.5,846.0,0.0
16,1.650485634803772,0.4998030662536621,0.4999014735221863,2537.0,2.0,1.6350762844085693,0.5,0.5,846.0,0.0
17,1.6203720569610596,0.48936590552330017,0.4799703359603882,647.0,1892.0,1.6053557395935059,0.5,0.5,846.0,0.0
18,1.591084361076355,0.48700276017189026,0.4920977056026459,2055.0,484.0,1.5765739679336548,0.5,0.5,846.0,0.0
19,1.5628316402435303,0.4994092285633087,0.4997004270553589,2502.0,37.0,1.5486986637115479,0.5,0.0,0.0,846.0
20,1.5354083776474,0.5001969337463379,0.6666666865348816,2.0,2537.0,1.521704077720642,0.5,0.0,0.0,846.0
21,1.5087910890579224,0.5007877349853516,0.5005279779434204,1896.0,643.0,1.495561122894287,0.5,0.5,846.0,0.0
22,1.4829188585281372,0.4885781705379486,0.49179399013519287,1738.0,801.0,1.470242977142334,0.5,0.5,846.0,0.0
23,1.458098292350769,0.4976368546485901,0.4975864887237549,1237.0,1302.0,1.4457237720489502,0.5,0.0,0.0,846.0
24,1.43399178981781,0.48975974321365356,0.49120432138442993,1452.0,1087.0,1.4219781160354614,0.5,0.0,0.0,846.0
25,1.4105552434921265,0.497833788394928,0.4878048896789551,220.0,2319.0,1.3989815711975098,0.5,0.5,846.0,0.0
26,1.3879218101501465,0.49310752749443054,0.4964132010936737,2422.0,117.0,1.3767105340957642,0.5,0.5,846.0,0.0
27,1.366089940071106,0.5003938674926758,0.500197172164917,2537.0,2.0,1.3551424741744995,0.5,0.5,846.0,0.0
28,1.3447701930999756,0.49842458963394165,0.49609375,508.0,2031.0,1.334254503250122,0.5,0.5,846.0,0.0
29,1.32418954372406,0.49606144428253174,0.49774369597435,2206.0,333.0,1.3140268325805664,0.5,0.5,846.0,0.0
