Image,Write Pixel,Black Pixel
AdpG_00001-1,0.04478286734086853,0.9552171326591314
AdpG_00001-2,0.06556216537775134,0.9344378346222486
AdpG_00001-3,0.048042831647828674,0.9519571683521714
AdpG_00002-1,0.16314693634741226,0.8368530636525877
AdpG_00002-2,0.018828078524687687,0.9811719214753123
AdpG_00002-3,0.04048780487804878,0.9595121951219512
AdpG_00003-1,0.0639857227840571,0.9360142772159429
AdpG_00003-2,0.014592504461629982,0.98540749553837
AdpG_00003-3,0.010826888756692445,0.9891731112433075
AdpG_00004-1,0.0350029744199881,0.9649970255800119
AdpG_00004-2,0.02406305770374777,0.9759369422962523
AdpG_00004-3,0.1360261748958953,0.8639738251041047
AdpG_00005-1,0.0371861986912552,0.9628138013087448
AdpG_00005-2,0.06400951814396193,0.9359904818560381
AdpG_00005-3,0.029125520523497917,0.9708744794765021
AdpG_00006-1,0.13879833432480665,0.8612016656751933
AdpG_00006-2,0.14673408685306366,0.8532659131469363
AdpG_00006-3,0.11788816180844736,0.8821118381915527
AdpG_00007-1,0.029143367043426533,0.9708566329565734
AdpG_00007-2,0.04749553837001785,0.9525044616299821
AdpG_00007-3,0.034515169541939325,0.9654848304580607
AdpG_00008-1,0.03691255205234979,0.9630874479476502
AdpG_00008-2,0.08839976204640095,0.911600237953599
AdpG_00008-3,0.10134443783462224,0.8986555621653778
AdpG_00009-1,0.034134443783462226,0.9658655562165378
AdpG_00009-2,0.04537180249851279,0.9546281975014872
AdpG_00009-3,0.056008328375966684,0.9439916716240333
AdpG_00010-1,0.026632956573468175,0.9733670434265318
AdpG_00010-2,0.024854253420582985,0.975145746579417
AdpG_00010-3,0.017162403331350388,0.9828375966686496
AdpG_00011-1,0.13273646638905415,0.8672635336109459
AdpG_00011-2,0.1040928019036288,0.8959071980963712
AdpG_00011-3,0.015359904818560382,0.9846400951814396
AdpG_00012-1,0.08868530636525877,0.9113146936347413
AdpG_00012-2,0.12041641879833433,0.8795835812016657
AdpG_00012-3,0.09227245687091017,0.9077275431290899
AdpG_00013-1,0.024836406900654372,0.9751635930993456
AdpG_00013-2,0.04304580606781678,0.9569541939321832
AdpG_00013-3,0.03434860202260559,0.9656513979773944
AdpG_00014-1,0.2121832242712671,0.7878167757287329
AdpG_00014-2,0.04130874479476502,0.958691255205235
AdpG_00014-3,0.022266508030933968,0.977733491969066
AdpG_00015-1,0.05751338488994646,0.9424866151100535
AdpG_00015-2,0.03622248661511005,0.9637775133848899
AdpG_00015-3,0.07305770374776918,0.9269422962522308
AdpG_00016-1,0.17099345627602616,0.8290065437239739
AdpG_00016-2,0.11714455681142177,0.8828554431885782
AdpG_00016-3,0.10639500297441999,0.89360499702558
AdpG_00017-1,0.2943783462224866,0.7056216537775134
AdpG_00017-2,0.06515764425936943,0.9348423557406306
AdpG_00017-3,0.03568114217727543,0.9643188578227245
AdpG_00018-1,0.021094586555621655,0.9789054134443783
AdpG_00018-2,0.09407495538370018,0.9059250446162999
AdpG_00018-3,0.049226650803093394,0.9507733491969066
AdpG_00019-1,0.019530041641879832,0.9804699583581201
AdpG_00019-2,0.0229506246281975,0.9770493753718025
AdpG_00019-3,0.03367043426531826,0.9663295657346818
AdpG_00020-1,0.05568709101725164,0.9443129089827483
AdpG_00020-2,0.12239738251041048,0.8776026174895896
AdpG_00020-3,0.07330160618679357,0.9266983938132064
AdpG_00021-1,0.02032123735871505,0.979678762641285
AdpG_00021-2,0.2158893515764426,0.7841106484235574
AdpG_00021-3,0.19899464604402142,0.8010053539559786
AdpG_00022-1,0.0351279000594884,0.9648720999405116
AdpG_00022-2,0.04750148720999405,0.952498512790006
AdpG_00022-3,0.05578227245687091,0.944217727543129
AdpG_00023-1,0.042456870910172514,0.9575431290898275
AdpG_00023-2,0.03421177870315289,0.9657882212968472
AdpG_00023-3,0.050773349196906604,0.9492266508030934
AdpG_00024-1,0.13324806662700772,0.8667519333729923
AdpG_00024-2,0.15095181439619274,0.8490481856038072
AdpG_00024-3,0.117441998810232,0.882558001189768
AdpG_00025-1,0.05151100535395598,0.948488994646044
AdpG_00025-2,0.05203450327186199,0.947965496728138
AdpG_00025-3,0.06155264723378941,0.9384473527662106
AdpG_00026-1,0.040797144556811424,0.9592028554431886
AdpG_00026-2,0.028738845925044616,0.9712611540749554
AdpG_00026-3,0.013872694824509221,0.9861273051754907
AdpG_00027-1,0.02592504461629982,0.9740749553837001
AdpG_00027-2,0.02675788221296847,0.9732421177870315
AdpG_00027-3,0.02446162998215348,0.9755383700178465
AdpG_00028-1,0.07611540749553837,0.9238845925044616
AdpG_00028-2,0.148459250446163,0.851540749553837
AdpG_00028-3,0.08752528256989887,0.9124747174301011
AdpG_00029-1,0.0925698988697204,0.9074301011302796
AdpG_00029-2,0.08840571088637715,0.9115942891136228
AdpG_00029-3,0.039994051160023796,0.9600059488399763
AdpG_00030-1,0.19958358120166567,0.8004164187983344
AdpG_00030-2,0.0816716240333135,0.9183283759666865
AdpG_00030-3,0.16581201665675194,0.8341879833432481
AdpG_00031-1,0.01793575252825699,0.982064247471743
AdpG_00031-2,0.018798334324806664,0.9812016656751933
AdpG_00031-3,0.016710291493158835,0.9832897085068412
AdpG_00032-1,0.06970255800118977,0.9302974419988103
AdpG_00032-2,0.05123140987507436,0.9487685901249256
AdpG_00032-3,0.09752528256989887,0.9024747174301011
AdpG_00033-1,0.02920880428316478,0.9707911957168353
AdpG_00033-2,0.03569303985722784,0.9643069601427722
AdpG_00033-3,0.04568709101725164,0.9543129089827483
AdpG_00034-1,0.13637120761451518,0.8636287923854848
AdpG_00034-2,0.07375966686496133,0.9262403331350386
AdpG_00034-3,0.16092207019631172,0.8390779298036883
AdpG_00035-1,0.15144556811421772,0.8485544318857823
AdpG_00035-2,0.16001784651992862,0.8399821534800713
AdpG_00035-3,0.10917906008328376,0.8908209399167162
AdpG_00036-1,0.00569303985722784,0.9943069601427722
AdpG_00036-2,0.0490957763236169,0.950904223676383
AdpG_00036-3,0.2796311719214753,0.7203688280785248
AdpG_00037-1,0.011594289113622843,0.9884057108863772
AdpG_00037-2,0.016918500892325997,0.983081499107674
AdpG_00037-3,0.1384651992861392,0.8615348007138608
AdpG_00038-1,0.03930993456276026,0.9606900654372398
AdpG_00038-2,0.0342355740630577,0.9657644259369423
AdpG_00038-3,0.038786436644854254,0.9612135633551457
AdpG_00039-1,0.02037477691850089,0.9796252230814991
